PassengerId,Age,Fare,Sex,sibsp,Survived,Pclass,Embarked
1,22,7.25,male,1,0,3,S
2,38,71.2833,female,1,1,1,C
3,26,7.925,female,0,1,3,S
4,35,53.1,female,1,1,1,S
5,35,8.05,male,0,0,3,S
6,28,8.4583,male,0,0,3,Q
7,54,51.8625,male,0,0,1,S
8,2,21.075,male,3,0,3,S
9,27,11.1333,female,0,1,3,S
10,14,30.0708,female,1,1,2,C
11,4,16.7,female,1,1,3,S
12,58,26.55,female,0,1,1,S
13,20,8.05,male,0,0,3,S
14,39,31.275,male,1,0,3,S
15,14,7.8542,female,0,0,3,S
16,55,16,female,0,1,2,S
17,2,29.125,male,4,0,3,Q
18,28,13,male,0,1,2,S
19,31,18,female,1,0,3,S
20,28,7.225,female,0,1,3,C
21,35,26,male,0,0,2,S
22,34,13,male,0,1,2,S
23,15,8.0292,female,0,1,3,Q
24,28,35.5,male,0,1,1,S
25,8,21.075,female,3,0,3,S
26,38,31.3875,female,1,1,3,S
27,28,7.225,male,0,0,3,C
28,19,263,male,3,0,1,S
29,28,7.8792,female,0,1,3,Q
30,28,7.8958,male,0,0,3,S
31,40,27.7208,male,0,0,1,C
32,28,146.5208,female,1,1,1,C
33,28,7.75,female,0,1,3,Q
34,66,10.5,male,0,0,2,S
35,28,82.1708,male,1,0,1,C
36,42,52,male,1,0,1,S
37,28,7.2292,male,0,1,3,C
38,21,8.05,male,0,0,3,S
39,18,18,female,2,0,3,S
40,14,11.2417,female,1,1,3,C
41,40,9.475,female,1,0,3,S
42,27,21,female,1,0,2,S
43,28,7.8958,male,0,0,3,C
44,3,41.5792,female,1,1,2,C
45,19,7.8792,female,0,1,3,Q
46,28,8.05,male,0,0,3,S
47,28,15.5,male,1,0,3,Q
48,28,7.75,female,0,1,3,Q
49,28,21.6792,male,2,0,3,C
50,18,17.8,female,1,0,3,S
51,7,39.6875,male,4,0,3,S
52,21,7.8,male,0,0,3,S
53,49,76.7292,female,1,1,1,C
54,29,26,female,1,1,2,S
55,65,61.9792,male,0,0,1,C
56,28,35.5,male,0,1,1,S
57,21,10.5,female,0,1,2,S
58,28.5,7.2292,male,0,0,3,C
59,5,27.75,female,1,1,2,S
60,11,46.9,male,5,0,3,S
61,22,7.2292,male,0,0,3,C
62,38,80,female,0,1,1,
63,45,83.475,male,1,0,1,S
64,4,27.9,male,3,0,3,S
65,28,27.7208,male,0,0,1,C
66,28,15.2458,male,1,1,3,C
67,29,10.5,female,0,1,2,S
68,19,8.1583,male,0,0,3,S
69,17,7.925,female,4,1,3,S
70,26,8.6625,male,2,0,3,S
71,32,10.5,male,0,0,2,S
72,16,46.9,female,5,0,3,S
73,21,73.5,male,0,0,2,S
74,26,14.4542,male,1,0,3,C
75,32,56.4958,male,0,1,3,S
76,25,7.65,male,0,0,3,S
77,28,7.8958,male,0,0,3,S
78,28,8.05,male,0,0,3,S
79,0.83,29,male,0,1,2,S
80,30,12.475,female,0,1,3,S
81,22,9,male,0,0,3,S
82,29,9.5,male,0,1,3,S
83,28,7.7875,female,0,1,3,Q
84,28,47.1,male,0,0,1,S
85,17,10.5,female,0,1,2,S
86,33,15.85,female,3,1,3,S
87,16,34.375,male,1,0,3,S
88,28,8.05,male,0,0,3,S
89,23,263,female,3,1,1,S
90,24,8.05,male,0,0,3,S
91,29,8.05,male,0,0,3,S
92,20,7.8542,male,0,0,3,S
93,46,61.175,male,1,0,1,S
94,26,20.575,male,1,0,3,S
95,59,7.25,male,0,0,3,S
96,28,8.05,male,0,0,3,S
97,71,34.6542,male,0,0,1,C
98,23,63.3583,male,0,1,1,C
99,34,23,female,0,1,2,S
100,34,26,male,1,0,2,S
101,28,7.8958,female,0,0,3,S
102,28,7.8958,male,0,0,3,S
103,21,77.2875,male,0,0,1,S
104,33,8.6542,male,0,0,3,S
105,37,7.925,male,2,0,3,S
106,28,7.8958,male,0,0,3,S
107,21,7.65,female,0,1,3,S
108,28,7.775,male,0,1,3,S
109,38,7.8958,male,0,0,3,S
110,28,24.15,female,1,1,3,Q
111,47,52,male,0,0,1,S
112,14.5,14.4542,female,1,0,3,C
113,22,8.05,male,0,0,3,S
114,20,9.825,female,1,0,3,S
115,17,14.4583,female,0,0,3,C
116,21,7.925,male,0,0,3,S
117,70.5,7.75,male,0,0,3,Q
118,29,21,male,1,0,2,S
119,24,247.5208,male,0,0,1,C
120,2,31.275,female,4,0,3,S
121,21,73.5,male,2,0,2,S
122,28,8.05,male,0,0,3,S
123,32.5,30.0708,male,1,0,2,C
124,32.5,13,female,0,1,2,S
125,54,77.2875,male,0,0,1,S
126,12,11.2417,male,1,1,3,C
127,28,7.75,male,0,0,3,Q
128,24,7.1417,male,0,1,3,S
129,28,22.3583,female,1,1,3,C
130,45,6.975,male,0,0,3,S
131,33,7.8958,male,0,0,3,C
132,20,7.05,male,0,0,3,S
133,47,14.5,female,1,0,3,S
134,29,26,female,1,1,2,S
135,25,13,male,0,0,2,S
136,23,15.0458,male,0,0,2,C
137,19,26.2833,female,0,1,1,S
138,37,53.1,male,1,0,1,S
139,16,9.2167,male,0,0,3,S
140,24,79.2,male,0,0,1,C
141,28,15.2458,female,0,0,3,C
142,22,7.75,female,0,1,3,S
143,24,15.85,female,1,1,3,S
144,19,6.75,male,0,0,3,Q
145,18,11.5,male,0,0,2,S
146,19,36.75,male,1,0,2,S
147,27,7.7958,male,0,1,3,S
148,9,34.375,female,2,0,3,S
149,36.5,26,male,0,0,2,S
150,42,13,male,0,0,2,S
151,51,12.525,male,0,0,2,S
152,22,66.6,female,1,1,1,S
153,55.5,8.05,male,0,0,3,S
154,40.5,14.5,male,0,0,3,S
155,28,7.3125,male,0,0,3,S
156,51,61.3792,male,0,0,1,C
157,16,7.7333,female,0,1,3,Q
158,30,8.05,male,0,0,3,S
